Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
AUDI A4,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7C,small car,5,27,34,30,7,Yes
AUDI A4,2,4,AMS-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7C,small car,5,27,34,30,7,Yes
AUDI e-tron,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KVGAT00.0AZE,standard SUV,10,74,73,74,10,Elite
AUDI e-tron,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KVGAT00.0AZE,standard SUV,10,74,73,74,10,Elite
BMW 330i,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,26,36,30,7,Yes
BMW 330i,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,26,36,30,7,Yes
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0H30,small car,7,27/70,30/75,29/72,10,Elite
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0H30,small car,7,27/70,30/75,29/72,10,Elite
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0H30,small car,7,27/66,31/68,28/67,10,Elite
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0H30,small car,7,27/66,31/68,28/67,10,Elite
BMW 740e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0H48,large car,3,25/62,29/68,27/64,9,Yes
BMW 740e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0H48,large car,3,25/62,29/68,27/64,9,Yes
BMW i3,.6,2,Auto-1,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KBMXV00.6I3R,small car,7,30/107,31/93,31/100,10,Elite
BMW i3,.6,2,Auto-1,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KBMXV00.6I3R,small car,7,30/107,31/93,31/100,10,Elite
BMW i3,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KBMXV00.0I3B,small car,10,124,102,113,10,Elite
BMW i3,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KBMXV00.0I3B,small car,10,124,102,113,10,Elite
BMW i3s,.6,2,Auto-1,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KBMXV00.6I3R,small car,7,30/107,31/93,31/100,10,Elite
BMW i3s,.6,2,Auto-1,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KBMXV00.6I3R,small car,7,30/107,31/93,31/100,10,Elite
BMW i3s,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KBMXV00.0I3B,small car,10,124,102,113,10,Elite
BMW i3s,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KBMXV00.0I3B,small car,10,124,102,113,10,Elite
BMW i8 Coupe,1.5,3,Auto-6,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,KBMXV01.5I8P,small car,3,26/68,29/70,27/69,10,Yes
BMW i8 Coupe,1.5,3,Auto-6,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5I8P,small car,3,26/68,29/70,27/69,10,Yes
BMW i8 Roadster,1.5,3,Auto-6,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,KBMXV01.5I8P,small car,3,26/68,29/70,27/69,10,Yes
BMW i8 Roadster,1.5,3,Auto-6,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5I8P,small car,3,26/68,29/70,27/69,10,Yes
BYD e6,N/A,N/A,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,KBYDV0000001,small SUV,10,73,71,72,10,Elite
CHEVROLET Bolt EV,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KGMXV00.0002,station wagon,10,128,110,119,10,Elite
CHEVROLET Bolt EV,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KGMXV00.0002,station wagon,10,128,110,119,10,Elite
CHEVROLET Cruze,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KGMXV01.5002,small car,6,30,38,33,8,Yes
CHEVROLET Cruze,1.4,4,CVT,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KGMXV01.5002,small car,6,30,38,33,8,Yes
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KGMXV01.5002,small car,6,28,38,32,7,Yes
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KGMXV01.5002,small car,6,28,38,32,7,Yes
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,KGMXJ01.6356,small car,3,31,48,37,7,Yes
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,KGMXJ01.6356,small car,3,31,48,37,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KGMXV01.5002,midsize car,6,28,38,32,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KGMXV01.5002,midsize car,6,28,38,32,7,Yes
CHEVROLET Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KGMXV01.5002,small car,6,28,38,32,7,Yes
CHEVROLET Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KGMXV01.5002,small car,6,28,38,32,7,Yes
CHEVROLET Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KGMXV01.5002,midsize car,6,28,37,31,7,Yes
CHEVROLET Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KGMXV01.5002,midsize car,6,28,37,31,7,Yes
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KGMXV01.5002,midsize car,6,29,36,32,7,Yes
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KGMXV01.5002,midsize car,6,29,36,32,7,Yes
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KGMXV01.5010,midsize car,7,29,36,32,7,Yes
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KGMXV01.5010,midsize car,7,29,36,32,7,Yes
CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KGMXV01.8050,midsize car,5,49,43,46,10,Yes
CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KGMXV01.8050,midsize car,5,49,43,46,10,Yes
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KGMXV01.4099,small car,5,27,38,31,7,Yes
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KGMXV01.4099,small car,5,27,38,31,7,Yes
CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KGMXV01.4050,small car,5,30,38,33,8,Yes
CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KGMXV01.4050,small car,5,30,38,33,8,Yes
CHEVROLET Spark,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KGMXV01.4050,small car,5,29,38,33,8,Yes
CHEVROLET Spark,1.4,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KGMXV01.4050,small car,5,29,38,33,8,Yes
CHEVROLET Spark Activ,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KGMXV01.4050,small car,5,30,37,33,8,Yes
CHEVROLET Spark Activ,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KGMXV01.4050,small car,5,30,37,33,8,Yes
CHEVROLET Spark Activ,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KGMXV01.4050,small car,5,29,37,32,7,Yes
CHEVROLET Spark Activ,1.4,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KGMXV01.4050,small car,5,29,37,32,7,Yes
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,CA,L3ULEV70,California LEV-III ULEV70,KGMXV01.5020,small car,5,43/113,42/98,42/106,10,Yes
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B70,Federal Tier 3 Bin 70,KGMXV01.5020,small car,5,43/113,42/98,42/106,10,Yes
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KGMXV01.5030,small car,7,43/113,42/98,42/106,10,Elite
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KGMXV01.5030,small car,7,43/113,42/98,42/106,10,Elite
CHRYSLER Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KCRXT03.65P6,minivan,7,29/87,30/76,30/82,10,Elite
CHRYSLER Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KCRXT03.65P6,minivan,7,29/87,30/76,30/82,10,Elite
FIAT 124 Spider,1.4,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KCRXJ01.45P0,small car,3,26,35,30,7,Yes
FIAT 124 Spider,1.4,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KCRXJ01.45P0,small car,3,26,35,30,7,Yes
FIAT 500,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KCRXJ01.45P0,small car,3,28,33,30,7,Yes
FIAT 500,1.4,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KCRXJ01.45P0,small car,3,28,33,30,7,Yes
FIAT 500 Abarth,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KCRXJ01.45P0,small car,3,28,33,30,7,Yes
FIAT 500 Abarth,1.4,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KCRXJ01.45P0,small car,3,28,33,30,7,Yes
FIAT 500e,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KCRXV00.05PR,small car,10,121,103,112,10,Elite
FIAT 500e,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KCRXV00.05PR,small car,10,121,103,112,10,Elite
FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,KFMXV01.6VDC,small car,3,27,37,31,7,Yes
FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,KFMXV01.6VDC,small car,3,27,37,31,7,Yes
FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,KFMXV01.6VDC,small car,3,27,35,30,7,Yes
FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,KFMXV01.6VDC,small car,3,27,35,30,7,Yes
FORD Fusion Energi Plug-in Hybrid,2,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KFMXV02.0VZQ,midsize car,7,43/109,40/97,42/103,10,Elite
FORD Fusion Energi Plug-in Hybrid,2,4,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KFMXV02.0VZQ,midsize car,7,43/109,40/97,42/103,10,Elite
FORD Fusion Hybrid,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KFMXV02.0VZT,midsize car,7,43,41,42,9,Yes
FORD Fusion Hybrid,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KFMXV02.0VZT,midsize car,7,43,41,42,9,Yes
FORD Fusion Hybrid Taxi,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KFMXV02.0VZT,midsize car,7,43,40,41,9,Yes
FORD Fusion Hybrid Taxi,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KFMXV02.0VZT,midsize car,7,43,40,41,9,Yes
HONDA Accord,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.53L2,large car,7,30,38,33,8,Yes
HONDA Accord,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.53L2,large car,7,30,38,33,8,Yes
HONDA Accord,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXV01.54K2,large car,6,26,35,30,7,Yes
HONDA Accord,1.5,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXV01.54K2,large car,6,26,35,30,7,Yes
HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.53L2,large car,7,29,35,31,7,Yes
HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.53L2,large car,7,29,35,31,7,Yes
HONDA Accord,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV02.0BL2,large car,7,48,48,48,10,Elite
HONDA Accord,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV02.0BL2,large car,7,48,48,48,10,Elite
HONDA CR-V,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KHNXT01.5YS3,small SUV,5,28,34,30,7,Yes
HONDA CR-V,1.5,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KHNXT01.5YS3,small SUV,5,28,34,30,7,Yes
HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.52L2,small car,7,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.52L2,small car,7,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5GH2,small car,3,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5GH2,small car,3,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5TH3,small car,3,28,38,32,7,Yes
HONDA Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5TH3,small car,3,28,38,32,7,Yes
HONDA Civic 2Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.52L2,small car,7,30,37,33,8,Yes
HONDA Civic 2Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.52L2,small car,7,30,37,33,8,Yes
HONDA Civic 2Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5GH2,small car,3,30,37,33,8,Yes
HONDA Civic 2Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5GH2,small car,3,30,37,33,8,Yes
HONDA Civic 2Dr,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV02.0CL3,small car,7,30,38,33,8,Yes
HONDA Civic 2Dr,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV02.0CL3,small car,7,30,38,33,8,Yes
HONDA Civic 2Dr,2,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.0DH3,small car,3,30,38,33,8,Yes
HONDA Civic 2Dr,2,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.0DH3,small car,3,30,38,33,8,Yes
HONDA Civic 2Dr,2,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV02.0CL3,small car,7,29,36,32,7,Yes
HONDA Civic 2Dr,2,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV02.0CL3,small car,7,29,36,32,7,Yes
HONDA Civic 2Dr,2,4,SCV-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.0DH3,small car,3,29,36,32,7,Yes
HONDA Civic 2Dr,2,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.0DH3,small car,3,29,36,32,7,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.52L2,midsize car,7,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.52L2,midsize car,7,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5GH2,midsize car,3,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5GH2,midsize car,3,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5TH3,midsize car,3,28,38,32,7,Yes
HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5TH3,midsize car,3,28,38,32,7,Yes
HONDA Civic 4Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.52L2,midsize car,7,30,38,33,8,Yes
HONDA Civic 4Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.52L2,midsize car,7,30,38,33,8,Yes
HONDA Civic 4Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5GH2,midsize car,3,30,38,33,8,Yes
HONDA Civic 4Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5GH2,midsize car,3,30,38,33,8,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV02.0CL3,midsize car,7,30,38,33,8,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV02.0CL3,midsize car,7,30,38,33,8,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.0DH3,midsize car,3,30,38,33,8,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.0DH3,midsize car,3,30,38,33,8,Yes
HONDA Civic 4Dr,2,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV02.0CL3,midsize car,7,29,37,32,7,Yes
HONDA Civic 4Dr,2,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV02.0CL3,midsize car,7,29,37,32,7,Yes
HONDA Civic 4Dr,2,4,SCV-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.0DH3,midsize car,3,29,37,32,7,Yes
HONDA Civic 4Dr,2,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.0DH3,midsize car,3,29,37,32,7,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.55L2,large car,7,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.55L2,large car,7,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5SH2,large car,3,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5SH2,large car,3,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5SH2,large car,3,29,38,33,8,Yes
HONDA Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5SH2,large car,3,29,38,33,8,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.55L2,large car,7,30,36,32,7,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.55L2,large car,7,30,36,32,7,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5SH2,large car,3,30,36,32,7,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5SH2,large car,3,30,36,32,7,Yes
HONDA Clarity,1.5,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV20,California LEV-III SULEV20,KHNXV01.5D92,midsize car,8,44/117,40/102,42/110,10,Elite
HONDA Clarity,1.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B20,Federal Tier 3 Bin 20,KHNXV01.5D92,midsize car,8,44/117,40/102,42/110,10,Elite
HONDA Clarity,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KHNXV00.0BE9,midsize car,10,126,103,114,10,Elite
HONDA Clarity,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KHNXV00.0BE9,midsize car,10,126,103,114,10,Elite
HONDA Clarity,N/A,N/A,Auto-1,2WD,Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,KHNXV00.0AE9,midsize car,10,68,67,68,10,Elite
HONDA Clarity,N/A,N/A,Auto-1,2WD,Hydrogen,CA,ZEV,California ZEV,KHNXV00.0AE9,midsize car,10,68,67,68,10,Elite
HONDA Fit,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.5XL2,station wagon,7,33,40,36,8,Yes
HONDA Fit,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.5XL2,station wagon,7,33,40,36,8,Yes
HONDA Fit,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV01.5FH2,station wagon,3,29,36,31,7,Yes
HONDA Fit,1.5,4,Man-6,2WD,Gasoline,CA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5FH2,station wagon,3,29,36,31,7,Yes
HONDA Fit,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV01.5FH2,station wagon,3,29,36,31,7,Yes
HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.5XL2,station wagon,7,31,36,33,8,Yes
HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.5XL2,station wagon,7,31,36,33,8,Yes
HONDA HR-V,1.8,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KHNXV01.8EJ3,station wagon,5,28,34,30,7,Yes
HONDA HR-V,1.8,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KHNXV01.8EJ3,station wagon,5,28,34,30,7,Yes
HONDA HR-V,1.8,4,SCV-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KHNXV01.8EJ3,station wagon,5,28,34,30,7,Yes
HONDA HR-V,1.8,4,SCV-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KHNXV01.8EJ3,station wagon,5,28,34,30,7,Yes
HONDA Insight,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV01.5CL2,midsize car,7,55,49,52,10,Elite
HONDA Insight,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV01.5CL2,midsize car,7,55,49,52,10,Elite
