Quarter,Total sales,e-Commerce sales,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Recession
4th quarter 1999,768726,5286,0,0,0,1,0
1st quarter 2000,696048,5592,1,0,0,0,0
2nd quarter 2000,753211,6103,0,1,0,0,0
3rd quarter 2000,746875,6940,0,0,1,0,0
4th quarter 2000,792622,9128,0,0,0,1,0
1st quarter 2001,704757,7949,1,0,0,0,0
2nd quarter 2001,779011,7899,0,1,0,0,0
3rd quarter 2001,756128,7836,0,0,1,0,0
4th quarter 2001,827829,10909,0,0,0,1,0
1st quarter 2002,717302,9738,1,0,0,0,0
2nd quarter 2002,790486,10206,0,1,0,0,0
3rd quarter 2002,792657,10908,0,0,1,0,0
4th quarter 2002,833877,14360,0,0,0,1,0
1st quarter 2003,741258,12553,1,0,0,0,0
2nd quarter 2003,820004,13199,0,1,0,0,0
3rd quarter 2003,831311,14169,0,0,1,0,0
4th quarter 2003,875581,18236,0,0,0,1,0
1st quarter 2004,796097,16533,1,0,0,0,0
2nd quarter 2004,872157,16850,0,1,0,0,0
3rd quarter 2004,873846,17796,0,0,1,0,0
4th quarter 2004,938330,22996,0,0,0,1,0
1st quarter 2005,836894,20509,1,0,0,0,0
2nd quarter 2005,932525,21284,0,1,0,0,0
3rd quarter 2005,940550,22529,0,0,1,0,0
4th quarter 2005,986722,28482,0,0,0,1,0
1st quarter 2006,896632,25814,1,0,0,0,0
2nd quarter 2006,986883,26245,0,1,0,0,0
3rd quarter 2006,977859,27246,0,0,1,0,0
4th quarter 2006,1018762,35607,0,0,0,1,0
1st quarter 2007,924042,31031,1,0,0,0,0
2nd quarter 2007,1016043,32218,0,1,0,0,0
3rd quarter 2007,1002562,32547,0,0,1,0,0
4th quarter 2007,1063151,42349,0,0,0,1,0
1st quarter 2008,953577,34595,1,0,0,0,0
2nd quarter 2008,1032233,34550,0,1,0,0,0
3rd quarter 2008,1004489,33541,0,0,1,0,0
4th quarter 2008,962634,39595,0,0,0,1,1
1st quarter 2009,833805,32475,1,0,0,0,1
2nd quarter 2009,911223,32902,0,1,0,0,1
3rd quarter 2009,917856,34153,0,0,1,0,1
4th quarter 2009,975587,45684,0,0,0,1,1
1st quarter 2010,888667,37166,1,0,0,0,1
2nd quarter 2010,978726,37718,0,1,0,0,1
3rd quarter 2010,970155,39230,0,0,1,0,1
4th quarter 2010,1051917,53225,0,0,0,1,1
1st quarter 2011,964845,43706,1,0,0,0,1